date,open,high,low,close,adj close,volume
2004-04-29,1131.130005,1134.199951,1099.250000,1104.160034,1104.160034,0
2004-04-30,1107.300049,1108.280029,1073.750000,1077.930054,1077.930054,0
2004-05-03,1078.050049,1078.050049,1049.170044,1074.199951,1074.199951,0
2004-05-04,1074.199951,1096.099976,1074.199951,1077.699951,1077.699951,0
2004-05-05,1080.839966,1087.099976,1075.449951,1082.930054,1082.930054,0
2004-05-06,1081.780029,1082.930054,1050.030029,1054.939941,1054.939941,0
2004-05-07,1054.939941,1054.939941,990.700012,1005.869995,1005.869995,0
2004-05-10,1005.869995,1005.869995,920.150024,921.719971,921.719971,0
2004-05-11,955.840027,969.479980,941.440002,955.859985,955.859985,0
2004-05-12,955.859985,955.859985,903.020020,940.390015,940.390015,0
2004-05-13,940.390015,955.710022,913.030029,913.549988,913.549988,0
2004-05-14,913.630005,918.739990,883.460022,900.429993,900.429993,0
2004-05-17,892.679993,892.679993,836.869995,839.929993,839.929993,0
2004-05-18,858.559998,869.219971,828.340027,844.299988,844.299988,0
2004-05-19,848.559998,909.250000,848.559998,896.109985,896.109985,0
2004-05-20,897.469971,902.320007,879.710022,890.190002,890.190002,0
2004-05-21,891.239990,929.849976,890.190002,920.789978,920.789978,0
2004-05-24,934.919983,943.049988,923.219971,943.049988,943.049988,0
2004-05-25,null,null,null,null,null,null
2004-05-26,943.750000,971.150024,942.130005,942.270020,942.270020,0
2004-05-27,943.330017,957.169983,940.390015,957.169983,957.169983,0
2004-05-28,957.780029,979.630005,955.659973,970.419983,970.419983,0
2004-05-31,970.419983,978.659973,945.599976,952.619995,952.619995,0
2004-06-01,954.500000,975.619995,954.500000,975.619995,975.619995,0
2004-06-02,975.950012,982.780029,960.380005,977.369995,977.369995,0
2004-06-03,975.280029,978.419983,949.940002,952.200012,952.200012,0
2004-06-04,952.700012,955.840027,918.429993,928.679993,928.679993,0
2004-06-07,928.679993,937.919983,920.039978,934.049988,934.049988,0
2004-06-08,932.840027,940.659973,930.500000,932.950012,932.950012,0
2004-06-09,931.460022,931.460022,902.479980,904.219971,904.219971,0
2004-06-10,904.219971,906.020020,880.729980,884.950012,884.950012,0
2004-06-11,884.450012,893.669983,881.090027,885.409973,885.409973,0
2004-06-14,885.409973,885.409973,854.239990,855.020020,855.020020,0
2004-06-15,855.239990,886.739990,853.330017,886.739990,886.739990,0
2004-06-16,886.739990,913.979980,883.359985,909.299988,909.299988,0
2004-06-17,909.299988,927.940002,901.650024,909.690002,909.690002,0
2004-06-18,910.349976,951.260010,908.229980,951.169983,951.169983,0
2004-06-21,null,null,null,null,null,null
2004-06-22,950.669983,959.059998,941.750000,955.030029,955.030029,0
2004-06-23,955.190002,967.919983,950.960022,960.849976,960.849976,0
2004-06-24,960.849976,960.849976,937.599976,938.659973,938.659973,0
2004-06-25,939.979980,940.690002,915.320007,931.760010,931.760010,0
2004-06-28,931.760010,938.309998,920.039978,922.599976,922.599976,0
2004-06-29,922.599976,935.690002,918.750000,933.489990,933.489990,0
2004-06-30,935.580017,947.500000,932.619995,945.450012,945.450012,0
2004-07-01,945.890015,963.049988,941.030029,951.179993,951.179993,0
2004-07-02,951.479980,970.330017,951.479980,967.679993,967.679993,0
2004-07-05,967.679993,979.929993,967.679993,979.929993,979.929993,0
2004-07-06,977.260010,983.890015,968.799988,969.919983,969.919983,0
2004-07-07,970.320007,978.380005,963.549988,969.950012,969.950012,0
2004-07-08,969.349976,986.590027,967.530029,985.539978,985.539978,0
2004-07-09,null,null,null,null,null,null
2004-07-12,985.799988,991.510010,979.849976,986.539978,986.539978,0
2004-07-13,986.390015,986.690002,948.200012,950.559998,950.559998,0
2004-07-14,949.900024,982.049988,947.479980,972.359985,972.359985,0
2004-07-15,975.619995,980.289978,955.830017,962.510010,962.510010,0
2004-07-16,962.809998,975.039978,950.090027,961.609985,961.609985,0
2004-07-19,961.609985,961.760010,950.380005,953.659973,953.659973,0
2004-07-20,953.659973,989.359985,953.659973,989.359985,989.359985,0
2004-07-21,991.409973,994.669983,981.570007,981.909973,981.909973,0
2004-07-22,980.830017,981.159973,971.429993,979.219971,979.219971,0
2004-07-23,977.890015,977.890015,967.549988,975.419983,975.419983,0
2004-07-26,975.419983,975.570007,952.719971,953.130005,953.130005,0
2004-07-27,954.289978,963.059998,927.789978,939.919983,939.919983,0
2004-07-28,939.919983,949.150024,934.130005,949.150024,949.150024,0
2004-07-29,949.150024,959.750000,946.359985,954.929993,954.929993,0
2004-07-30,954.929993,968.200012,954.239990,966.099976,966.099976,0
2004-08-02,963.440002,965.750000,955.039978,962.409973,962.409973,0
2004-08-03,962.880005,969.090027,956.880005,969.090027,969.090027,0
2004-08-04,967.880005,984.469971,967.880005,983.799988,983.799988,0
2004-08-05,983.950012,994.900024,973.650024,973.770020,973.770020,0
2004-08-06,974.239990,984.280029,960.599976,964.109985,964.109985,0
2004-08-09,964.400024,967.739990,955.809998,963.700012,963.700012,0
2004-08-10,962.719971,968.640015,958.460022,967.619995,967.619995,0
2004-08-11,965.119995,966.539978,954.380005,957.020020,957.020020,0
2004-08-12,957.020020,961.150024,949.690002,954.869995,954.869995,0
2004-08-13,954.869995,954.869995,932.469971,934.030029,934.030029,0
2004-08-16,null,null,null,null,null,null
2004-08-17,934.179993,939.719971,926.940002,938.030029,938.030029,0
2004-08-18,938.190002,952.780029,938.190002,952.780029,952.780029,0
2004-08-19,952.780029,957.729980,943.210022,944.700012,944.700012,0
2004-08-20,944.700012,944.700012,935.760010,937.260010,937.260010,0
2004-08-23,937.260010,941.609985,934.580017,936.469971,936.469971,0
2004-08-24,936.549988,945.869995,936.239990,940.020020,940.020020,0
2004-08-25,940.330017,942.109985,924.109985,942.030029,942.030029,0
2004-08-26,942.169983,942.169983,933.640015,940.200012,940.200012,0
2004-08-27,940.200012,952.229980,940.200012,950.549988,950.549988,0
2004-08-30,950.549988,966.380005,950.549988,962.619995,962.619995,0
2004-08-31,963.070007,965.960022,950.869995,952.140015,952.140015,0
2004-09-01,951.010010,962.659973,948.979980,962.659973,962.659973,0
2004-09-02,963.590027,976.229980,963.590027,976.229980,976.229980,0
2004-09-03,976.539978,987.000000,974.099976,986.549988,986.549988,0
2004-09-06,986.859985,998.109985,986.479980,997.830017,997.830017,0
2004-09-07,997.830017,1006.080017,987.280029,988.549988,988.549988,0
2004-09-08,988.549988,990.809998,979.719971,986.739990,986.739990,0
2004-09-09,985.409973,1001.179993,985.409973,995.530029,995.530029,0
2004-09-10,995.979980,1004.359985,995.979980,1002.549988,1002.549988,0
